redump_name,serial,name,localizedName
All Star Racing 2 (Europe),SLES-03933,All Star Racing 2,
All Star Racing 2 (USA),SLUS-01510,All Star Racing 2,
"All Star Soccer (Europe) (En,Fr,De,It)",SLES-00747,All Star Soccer,
All Star Tennis (Europe),SLES-03963,All Star Tennis,
"All Star Tennis 2000 (Europe) (En,De,Es,It)",SLES-02764,All Star Tennis 2000,
All Star Tennis 2000 (France),SLES-02765,All Star Tennis 2000,
All Star Tennis '99 (Europe) (Demo),SLED-01560,All Star Tennis '99 (Demo),
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",SLES-01433,All Star Tennis '99,
All Star Tennis '99 (Japan),SLPS-01962,All Star Tennis '99,オールスターテニス´９９
All Star Watersports (Europe),SLES-04060,All Star Watersports,
Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy),SLES-02984,Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata,
Allied General (Europe),SLES-00417,Allied General,
"Allied General (Japan) (En,Ja)",SLPS-00843,Allied General,
Allied General (USA),SLUS-00303,Allied General,
All-Star Baseball 97 featuring Frank Thomas (USA),SLUS-00392,All-Star Baseball 97 featuring Frank Thomas,
All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan),SLPS-00993,All-Star Mahjong - Karei naru Shoubushi kara no Chousen,オールスター麻雀　～華麗なる勝負師からの挑戦～
All-Star Slammin' D-Ball (USA),SLUS-01431,All-Star Slammin' D-Ball,
