No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,SHA256
Andre Agassi Tennis (USA),SEGA GENESIS,(C)SEGA 1992.SEP,ANDRE AGASSI TENNIS,ANDRE AGASSI TENNIS,GM,T-101016-00,(unknown),64631 (0xFC77),JU,e186628dd3d8a55d8910eb75e7c31c3fd70499d11ec9256aad902f7e2fba091b
"Animaniacs (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-95 1994.NOV,ANIMANIACS,ANIMANIACS,GM,T-95176-00,(unknown),64474 (0xFBDA),E,b9079b64436b235619f78e3f2d060c61d1f1bde7f45839c85487032cc23f7769
Animaniacs (USA),SEGA GENESIS,(C)T-95 1994.NOV,ANIMANIACS,ANIMANIACS,GM,T-95176-00,(unknown),46062 (0xB3EE),UJ,31fbf9d442d578c43788a024336639648d5c7dab4502636e127190c991ff3604
Aniversario (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)DEVWORKS 2005,JogosDevworks,JogosDevworks,GM,00000000-00,(unknown),42491 (0xA5FB),UEJ,506f304d39b2f4dd9134ef643db4d96f32d5612905ffe562d5347b1701046905
Another World (Europe),SEGA MEGA DRIVE,(C)T-70 1993.MAR,ANOTHER WORLD,ANOTHER WORLD,GM,T-70106-000,(unknown),12985 (0x32B9),EUR,0c5911c38de0cd24f155d7eeaba7aea3c21f3df88ca602881cb6dd6af69d0d5a
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),SEGA MEGA DRIVE,(C)T-76 1993.JAN,蒼き狼と白き牝鹿・元朝秘史,(unknown),GM,T-76103,0,23352 (0x5B38),J,bb5d6eaa1ca79ed37f80011629736f09f3d3fa2f6ec571e5444c947f2949bbc5
Aquaduto (Brazil) (Mega Drive 4),SEGA MEGA DRIVE,(C)SEGA 2005.ABR,MEGA DRIVE 71J,MEGA DRIVE 71J,(unknown),TECTOY,2005,65350 (0xFF46),U,861653df0bdfc8b4131d69bd6af07f55c5fe054dcec895d850cdf3f1f35a3825
"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)",SEGA GENESIS,(C)T-50 1992.JUL,The Aquatic Games,The Aquatic Games,GM,T-50436,0,5641 (0x1609),U,2dda22ce8dcbfd8d70d0047dc6b0ba986f5adabc8cae09b451b17d1b6ce7d194
"Arcade Classics (USA, Europe)",SEGA GENESIS,(C)SEGA 1996.MAR,Arcade Classics,Arcade Classics,GM,MK-1715,0,43809 (0xAB21),F,2b199ec75cf6473f7baa8fc2c2066af9defff19e1f197b3a10a533850ddd84e0
Arcade Legends Sega Mega Drive (World),SEGA MEGA DRIVE,(C)SEGA 1991 DEC,KID CHAMELEON,KID CHAMELEON,GM,MK-1010,0,9460 (0x24F4),JUE,e808e8370c12076d5c0f225a944f168ea4c2381beafb77217739ad96292774b3
Arcade Legends Street Fighter II' - Special Champion Edition (World),SEGA MEGA DRIVE,(C)SEGA 1993.AUG,STREET FIGHTERⅡ' PLUS CHAMPION EDITION,STREET FIGHTERⅡ'SPECIAL CHAMPION EDITION,GM,MK-1090,0,4175 (0x104F),E,57de0045324192c15a3a7f6062e4845b83ebbc0607e0fca8dd4249298edda3d0
