Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
Note! Color Mechanica (USA) (Unl),SEGA GENESIS,(C)T-BA,2013.JAN,NOTE! / BATSLY ADAMS - COLOR M,NOTE! / BATSLY ADAMS - COLOR M,GM,T-00012,0,J         ,U               
Note! Color Mechanica (USA) (Unl) (Alt),SEGA GENESIS,(C)T-BA,2013.JAN,NOTE! / BATSLY ADAMS - COLOR M,NOTE! / BATSLY ADAMS - COLOR M,GM,T-00012,0,J         ,U               
Novastorm (Europe),SEGA MEGA DRIVE,(C)T-113,1994.NOV,NOVASTORM,NOVASTORM,GM,T-113065,0,J         ,E               
Novastorm (USA),SEGA GENESIS,(C)T-113,1994.NOV,NOVASTORM,NOVASTORM,GM,T-113025,0,J         ,U               
Panic! (USA) (RE),SEGA GENESIS,(C)T-13,1994.SEP,SWITCH,PANIC!,GM,T-13015,0,J6M       ,U               
Pitfall - The Mayan Adventure (Europe),SEGA MEGA DRIVE,(C)T130,1994.NOV,PITFALL,PITFALL,GM,T-130025,50,J6        ,E               
Pitfall - The Mayan Adventure (Europe) (Demo),SEGA MEGA DRIVE,(C)T130,1994.NOV,PITFALL,PITFALL,GM,T-130025,50,J6        ,E               
Pitfall - The Mayan Adventure (USA),SEGA GENESIS,(C)T130,1994.NOV,PITFALL,PITFALL,GM,T-130025,0,J6        ,U               
Popful Mail (USA) (RE),SEGA GENESIS,T-127 ,1995.JAN,Popful MAIL,Popful MAIL,GM,T-127035,0,J         ,U               
PopfulMail (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.APR,Popful MAIL,Popful MAIL,GM,G-6029,0,J         ,J               
PopfulMail (Japan) (Demo),SEGA MEGA DRIVE,(C)T-XX,1994.JAN,Popful MAIL     //////////////,Popful MAIL     //////////////,GM,0,0,J         ,J               
Power Factory (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.JUN,MAKE MY VIDEO -- C & C MUSIC F,MAKE MY VIDEO -- C & C MUSIC F,GM,MK-4901,0,J         ,E               
Power Monger (USA),SEGA GENESIS,(C)T-50,1994.JUN,POWERMONGER,POWERMONGER,GM,T-50035,0,J         ,U               
PowerMonger (Europe),SEGA MEGA DRIVE,(C)T-50,1994.JUN,POWERMONGER,POWERMONGER,GM,T-50035,0,J         ,E               
Pier Solar and the Great Architects - The Definitive Original Soundtrack (Europe) (Disc 4) (Enhanced Soundtrack Disc),SEGA MEGA DRIVE,(c)T574,2010.AUG,PIERSOLAR™& THE GREAT ARCHITECTS(c) WaterMelon™,PIERSOLAR™& THE GREAT ARCHITECTS(c) WaterMelon™ ,GM,T-5740??,1,J,J
Pier Solar and the Great Architects Enhanced Soundtrack Disc (USA),SEGA MEGA DRIVE,(c)T574,2010.AUG,PIERSOLAR™& THE GREAT ARCHITECTS(c) WaterMelon™,PIERSOLAR™& THE GREAT ARCHITECTS(c) WaterMelon™,GM,T-5740??,1,J,J
Prince of Persia (Europe),SEGA MEGA DRIVE,(C)SEGA,1992.Aug,Prince of Persia,Prince of Persia,GM,MK-4652,0,J         ,J               
Prince of Persia (Japan),SEGA MEGA DRIVE,(C)VICT,1992.Aug,Prince of Pelsia,Prince of Pelsia,GM,T-60014,,J         ,J               
Prince of Persia (USA),SEGA GENESIS,(C)SEGA,1992.Aug,Prince of Persia,Prince of Persia,GM,MK-4652,0,J         ,J               
Prize Fighter (Europe) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1993.DEC,Prize Fighter,Prize Fighter,GM,MK-4206,0,J6        ,E               
Prize Fighter (Europe) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1993.DEC,Prize Fighter,Prize Fighter,GM,MK-4206,0,J6        ,E               
Prize Fighter (Japan) (Disc 1),SEGA MEGA DRIVE,(C)SEGA,1994.DEC,Prize Fighter,Prize Fighter,GM,G-6037,0,J6        ,J               
Prize Fighter (Japan) (Disc 2),SEGA MEGA DRIVE,(C)SEGA,1994.DEC,Prize Fighter,Prize Fighter,GM,G-6037,0,J6        ,J               
Prize Fighter (USA) (Disc 1),SEGA GENESIS,(C)SEGA,1993.NOV,Prize Fighter,Prize Fighter,GM,MK-4206,0,J6        ,U               
