Scene Release,File Name,Game Title,Product Number,Redump Serial 1,Redump Serial 2,Redump Serial 3,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,Atsumare! Guru Guru Onsen (Japan) (Demo 1),ATSUMARE GURU GURU ONSEN TAIKENBAN,6107187,610-7187,,,V1.000,19990723,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,24D3,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Atsumare! Guru Guru Onsen (Japan) (Demo 2),ATSUMARE GURU GURU ONSEN TAIKENBAN,6107187,610-7351,,,V1.001,19990727,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,34F2,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Atsumare! Guru Guru Onsen (Japan),ATSUMARE GURU GURU ONSEN,HDR-0015,HDR-0015,,,V1.008,19990831,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,70E6,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Atsumare! Guru Guru Onsen BB (Japan) (Rev A),ATSUMARE GURU GURU ONSEN BB,HDR-0121,HDR-0121,,,V1.100,20001224,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,33B7,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Atsumare! Guru Guru Onsen BB (Japan),ATSUMARE GURU GURU ONSEN BB,HDR-0121,HDR-0121,,,V1.002,20001005,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,24C5,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Redump,Bakumatsu Roman Daini Maku - Gekka no Kenshi - Final Edition (Japan),GEKKA NO KENSHI2 FINAL EDITION,T3107M,T-3107M, T-47301M,,V1.003,20001024,Japan/Asia,SEGA LC-T-31,SEGA SEGAKATANA,SEGA ENTERPRISES,D39B,GD-ROM1/1,J,07BBA00,1ST_READ.BIN
Redump,Bakuretsu Muteki Bangaioh (Japan),BAKURETSUMUTEKI BANGAIOH,T38702M,T-38702M,,,V1.003,19991026,Japan/Asia,SEGA LC-T-387,SEGA SEGAKATANA,SEGA ENTERPRISES,725F,GD-ROM1/1,J,2799800,1ST_READ.BIN
Redump,Baldr Force EXE (Japan),BALDR FORCE EXE,T47110M,T-47110M,,,V1.002,20040928,Japan/Asia,SEGA LC-T-471,SEGA SEGAKATANA,SEGA ENTERPRISES,AD29,GD-ROM1/1,J,A799A10,1ST_READ.BIN
Redump,"Bang! Gunship Elite (USA) (En,Fr,De)",BANG! GUNSHIP ELITE,T44102N,T-44102N,,,V1.003,20001204,USA/Canada,SEGA LC-T-441,SEGA SEGAKATANA,SEGA ENTERPRISES,22A2,GD-ROM1/1,U,0799811,0WINCEOS.BIN
Redump,"Bangai-O (Europe) (En,Fr,De)",BANGAI-O,T7011D  50,T-7011D-50,,,V1.001,20000901,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,65E1,GD-ROM1/1,E,0799800,1ST_READ.BIN
Redump,Bangai-O (USA),BANGAI-O,T40217N,T-40217N,,,V1.001,20001214,USA/Canada,SEGA LC-T-402,SEGA SEGAKATANA,SEGA ENTERPRISES,BA9B,GD-ROM1/1,U,0799800,1ST_READ.BIN
Redump,Bass Rush Dream - EcoGear PowerWorm Championship (Japan),BASS RUSH DREAM,T5801M,T-5801M,,,V2.000,20001121,Japan/Asia,SEGA LC-T-58,SEGA SEGAKATANA,SEGA ENTERPRISES,4075,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,Battle Beaster (Japan),BATTLE BEASTER,T43801M,T-43801M,,,V1.003,20010218,Japan/Asia,SEGA LC-T-438,SEGA SEGAKATANA,SEGA ENTERPRISES,D5A8,GD-ROM1/1,J,0199C10,1ST_READ.BIN
Redump,"Battle Crust (USA, Japan) (Unl)",BootDreams,T0000,,,,V1.000,20160817,"Japan/Asia, USA/Canada, Europe",fackue,SEGA SEGAKATANA,SEGA ENTERPRISES,B6D8,CD-ROM1/1,JUE,E000010,1ST_READ.BIN
Redump,Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan) (Taikenban),BERSERK TRIAL VERSION R,6107370,610-7370,,,V1.001,19991005,Japan/Asia,SEGA LC-T-00,SEGA SEGAKATANA,SEGA ENTERPRISES,A5D1,GD-ROM1/1,J,0799200,1ST_READ.BIN
Redump,Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan),BERSERK,T2101M,T-2101M,,,V1.001,19991104,Japan/Asia,SEGA LC-T-21,SEGA SEGAKATANA,SEGA ENTERPRISES,561B,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,BikkuriMan 2000 - Viva! Festiva! (Japan),BIKKURIMAN 2000 VIVA FESTIVA,T41801M,T-41801M,,,V1.002,20000406,Japan/Asia,SEGA LC-T-418,SEGA SEGAKATANA,SEGA ENTERPRISES,334B,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica (Japan) (Disc 1) (Genteiban),BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,T-1210M,,,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica (Japan) (Disc 1),BIOHAZARD CODE VERONICA,T1207M,T-1207M,,,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,03C0,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica (Japan) (Disc 2) (Genteiban),BIOHAZARD CODE VERONICA GENTEIBAN,T1210M,T-1210M,,,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,4EE8,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica (Japan) (Disc 2),BIOHAZARD CODE VERONICA,T1207M,T-1207M,,,V1.002,19991227,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,03C0,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica (Japan) (Tentou-you Demo Movie),BIOHAZARD CODE VERONICA,6107724,610-7724,,,V1.000,19991215,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,9C1F,GD-ROM1/1,J,0799010,1ST_READ.BIN
Redump,Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 1),BIOHAZARD CODE VERONICA PLUS,T1240M,T-1240M,,,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1E07,GD-ROM1/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 2),BIOHAZARD CODE VERONICA PLUS,T1240M,T-1240M,,,V1.003,20010109,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1E07,GD-ROM2/2,J,0799A10,1ST_READ.BIN
Redump,Biohazard - Code - Veronica - Trial Edition (Japan),BIOHAZARD2 VALUE PLUS,T1214M,T-1214M,,,V1.003,19991115,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,531D,GD-ROM3/3,J,0799210,1ST_READ.BIN
Redump,Biohazard 2 - Value Plus (Japan) (Disc 1),BIOHAZARD 2 VALUE PLUS,T1214M,T-1214M,,,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,33DB,GD-ROM1/3,J,0799A11,0WINCEOS.BIN
Redump,Biohazard 2 - Value Plus (Japan) (Disc 2),BIOHAZARD 2 VALUE PLUS,T1214M,T-1214M,,,V1.005,19991114,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,33DB,GD-ROM2/3,J,0799A11,0WINCEOS.BIN
Redump,Biohazard 3 - Last Escape (Japan),BIOHAZARD3,T1222M,T-1222M,,,V1.002,20000913,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,87A7,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,Black-Matrix Advanced (Japan) (Disc 1),BLACK MATRIX AD,T20101M,T-20101M,,,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,D078,GD-ROM1/2,J,0199800,1ST_READ.BIN
Redump,Black-Matrix Advanced (Japan) (Disc 2),BLACK MATRIX AD,T20101M,T-20101M,,,V1.002,19990905,Japan/Asia,SEGA LC-T-201,SEGA SEGAKATANA,SEGA ENTERPRISES,D078,GD-ROM2/2,J,0199800,1ST_READ.BIN
Redump,Blue Stinger (Europe),BLUE STINGER,T13001D-05,T-13001D-05,T-13001D-58,,V1.000,19990722,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,D38A,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Redump,Blue Stinger (France),BLUE STINGER,T13001D 09,T-13001D-09,,,V1.000,19990811,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,DFD2,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Redump,"Blue Stinger (Germany) (En,De)",BLUE STINGER,T13001D 18,T-13001D-18,,,V1.000,19990803,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,2060,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Redump,Blue Stinger (Japan),BLUE STINGER,HDR-0003,HDR-0003,,,V1.006,19990304,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,A4E5,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Redump,Blue Stinger (USA),BLUE STINGER,T13001N,T-13001N,,,V1.000,19990705,USA/Canada,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,6A10,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Redump,Blue-Sky-Blue[s] - Sora o Mau Tsubasa (Japan),SORAWOMAUTSUBASA,T23205M,T-23204M,,,V1.002,20030524,Japan/Asia,SEGA LC-T-232,SEGA SEGAKATANA,SEGA ENTERPRISES,C339,GD-ROM1/1,J,0799810,00SOR.BIN
Redump,Bokomu no Tatsujin (Japan),BOKOMU NO TATSUJIN,T42904M,T-42904M,,,V1.004,20011127,Japan/Asia,SEGA LC-T-429,SEGA SEGAKATANA,SEGA ENTERPRISES,1243,GD-ROM1/1,J,0799A10,1ST_READ.BIN
