Title,Disc_Serial
Ao no 6-gou - Antarctica (Japan) (Disc 2),SLPS-02941
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),SLPS-01579
Aozora to Nakama-tachi - Yume no Bouken Plus (Japan),SLPS-03564
Ape Escape - La Invasion de los Monos (Spain),SCES-02031
Ape Escape (Europe),SCES-01564
Ape Escape (Europe) (Demo),SCED-02133
Ape Escape (France),SCES-02028
Ape Escape (Italy),SCES-02030
Ape Escape (USA),SCUS-94423
Ape Escape (USA) (Demo 1),SCUS-94470
Ape Escape (USA) (Demo 2),SCUS-94489
Ape Escape (USA) (Demo 2) (EDC),SCUS-94489
Apocalypse (Europe),SLES-00460
Apocalypse (Europe) (Demo),SLED-01610
Apocalypse (France),SLES-00834
Apocalypse (Germany),SLES-00835
Apocalypse (Italy),SLES-01463
Apocalypse (Japan),SLPM-86879
Apocalypse (USA),SLUS-00373
"Aqua GT (Europe) (En,Fr,De,Es,It,Nl)",SLES-03390
Aqua Paradise (Japan),SLPS-03095
Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan),SLPS-00406
Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan) (Artdink Best Choice),SLPS-02023
Aquanaut no Kyuujitsu (Japan),SLPS-00060
Aquanaut no Kyuujitsu 2 (Japan),SLPS-02141
Aquanaut no Kyuujitsu 2 (Japan),SLPS-02919
Aquanaut no Kyuujitsu 2 (Japan) (Demo),SLPM-80449
Aquanaut's Holiday (Europe),SCES-00241
Aquanaut's Holiday (USA),SCUS-94603
Aquarian Age - Tokyo Wars (Japan),SLPS-02731
Arc the Lad - Monster Game with Casino Game (Japan) (Disc 1) (Monster Game),SCPS-10040
Arc the Lad - Monster Game with Casino Game (Japan) (Disc 2) (Casino Game),SCPS-10041
Arc the Lad (Japan),SCPS-10008
Arc the Lad (Japan) (Rev 1),SCPS-10008
Arc the Lad (Japan) (Rev 1),SCPS-91004
Arc the Lad Collection - Arc Arena - Monster Tournament (USA),SLUS-01255
Arc the Lad Collection - Arc Arena - Monster Tournament (USA) (Beta) (2001-10-16),SLUS-01255
Arc the Lad Collection - The Making of Arc the Lad (USA),SLUS-01256
Arc the Lad Collection - The Making of Arc the Lad (USA) (Beta) (2001-11-20),SLUS-01256
Arc the Lad II - Characters & World CG Movie Collection (Japan),PCPX-96050
Arc the Lad II - Characters & World CG Movie Collection (Japan),SCPM-85005
Arc the Lad II (Japan),SCPS-10026
Arc the Lad II (Japan) (Rev 1),SCPS-91071
Arc the Lad II (Japan) (Rev 1),SCPS-91310
Arc the Lad III (Japan) (Demo 1),PAPX-90093
Arc the Lad III (Japan) (Demo 2),PAPX-90099
Arc the Lad III (Japan) (Demo 3),PCPX-96176
Arc the Lad III (Japan) (Disc 1),SCPS-10106
Arc the Lad III (Japan) (Disc 1) (Rev 1),SCPS-91228
Arc the Lad III (Japan) (Disc 1) (Rev 1),SCPS-91316
Arc the Lad III (Japan) (Disc 2),SCPS-10107
Arc the Lad III (Japan) (Disc 2) (Rev 1),SCPS-91229
Arc the Lad III (Japan) (Disc 2) (Rev 1),SCPS-91317
Arcade Gears - ImageFight & XMultiply (Japan),SLPS-01267
Arcade Gears - Pu-Li-Ru-La (Japan),SLPS-00928
Arcade Gears - Wonder 3 (Japan),SLPS-00927
Arcade Hits - Crazy Climber (Japan),SLPM-87067
Arcade Hits - Frisky Tom (Japan),SLPM-87118
Arcade Hits - Magical Drop (Japan),SLPM-87173
Arcade Hits - Moon Cresta (Japan),SLPM-87082
Arcade Hits - Raiden (Japan),SLPM-86613
Arcade Hits - Shienryuu (Japan),SLPM-87228
Arcade Hits - Sonic Wings Special (Japan),SLPM-87137
Arcade Hits - Soukyuu Gurentai (Japan),SLPM-87255
Arcade Hits - Suiko Enbu - Outlaws of the Lost Dynasty (Japan),SLPM-87145
Arcade Hits - Wolf Fang - Kuuga 2001 (Japan),SLPM-87270
"Arcade Party Pak (Europe, Australia)",SLES-02339
Arcade Party Pak (USA),SLUS-00952
Arcade's Greatest Hits - The Atari Collection 1 (Europe),SLES-00466
Arcade's Greatest Hits - The Atari Collection 1 (USA),SLUS-00399
Arcade's Greatest Hits - The Atari Collection 2 (Europe),SLES-00712
Arcade's Greatest Hits - The Atari Collection 2 (USA),SLUS-00449
Arcade's Greatest Hits - The Midway Collection 2 (Europe),SLES-00739
Arcade's Greatest Hits - The Midway Collection 2 (USA),SLUS-00450
Arcana Senki Ludo (Japan),SLPS-01438
"Arc-en-Ciel, L' - Light my Fire (Japan)",SLPM-80299
Archer Maclean's 3D Pool (Europe),SLES-04096
Are!Mo KoreMo Momotarou (Japan),SLPS-00428
"Area 51 (Europe) (En,Fr,De,Es)",SLES-00578
"Area 51 (Europe) (En,Fr,De,Es) (Midway Classics)",SLES-03783
Area 51 (Japan),SLPS-00726
Area 51 (Japan) (Special Pack),SLPS-00725
Area 51 (USA),SLUS-00164
Area 51 (USA) (Rev 1),SLUS-00164
"Ark of Time (Europe) (En,Fr,De,Es,It)",SLES-00748
Arkanoid R 2000 (Japan),SLPM-86262
Arkanoid Returns (Japan),SLPS-00948
Armed Fighter (Japan),SLPS-01598
Armored Core - Master of Arena (Japan) (Demo),SLPM-80371
Armored Core - Master of Arena (Japan) (Disc 1),SLPS-01855
Armored Core - Master of Arena (Japan) (Disc 1),SLPS-91188
Armored Core - Master of Arena (Japan) (Disc 1) (PSone Books),SLPS-91444
Armored Core - Master of Arena (Japan) (Disc 2),SLPS-01856
Armored Core - Master of Arena (Japan) (Disc 2),SLPS-91189
Armored Core - Master of Arena (Japan) (Disc 2) (PSone Books),SLPS-91445
Armored Core - Master of Arena (USA) (Disc 1),SLUS-01030
Armored Core - Master of Arena (USA) (Disc 2),SLUS-01081
