redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
Castlevania - The Dracula X Chronicles (USA),ULUS-10277, ULUS-10277GH,,,
Chameleon (USA),ULUS-10267,,,,
Championship Manager (Europe),ULES-00174,,,,
Championship Manager 2006 (Europe),ULES-00330,,,,
"Championship Manager 2007 (Europe) (En,Fr,Es,It)",ULES-00636,,,,
"Chandragupta - Warrior Prince (India) (En,Hi)",UCES-01559,,,,
Chaos;Head Love Chu Chu! (Japan),ULJM 05821,,,,
Chaos;Head Noah (Japan),ULJM 05692,,,,
Chase Cop - Pursuit Force (Korea),UCKS-45016,,,,
"Chessmaster - The Art of Learning (Europe) (En,Fr,De,Es,It,Nl)",ULES-01013,,,,
"Chessmaster - The Art of Learning (USA) (En,Fr,Es)",ULUS-10335,,,,
Chi Vuol Essere Milionario Party Edition (Italy),ULES-00712,,,,
Chikyuu Boueigun 2 Portable (Japan),ULJS 00374, ULJS 00381,,,
"Chili Con Carnage (Europe) (En,Fr,De,Es,It)",ULES-00629, ULES-00629/0029248,,,
Chili Con Carnage (USA),ULUS-10216,,,,
Chotto Shot Edit (Japan),UCJB-98012,,,,
Chou no Doku Hana no Kusari - Taishou Tsuya Koi Ibun (Japan),ULJM 06343,,,,
Chronicle of Dungeon Maker (Asia),UCAS-40176,,,,
Chronicle of Dungeon Maker II (Japan),ULJM 05294,,,,
Chrono Belt - Schwarz Oath - Ayakashibito & Bullet Butlers Crossover Disc (Japan),ULJM 06013,,,,
Chronostacia (Japan),ULJM 06358, ULJM 06359,,,
