File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Capcom vs. SNK - Millennium Fight 2000 v1.001 (2000)(Capcom)(JP)[!],CAPCOM VS SNK,T1217M,V1.001,20000802,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,76C0,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
Capcom vs. SNK - Millennium Fight 2000 v2.000 (2000)(Capcom)(JP)[!],CAPCOM VS SNK,T1217M,V2.000,20000824,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,8833,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
Capcom vs. SNK 2 - Millionaire Fighting 2001 v1.001 (2001)(Capcom)(JP)[!],CAPCOM VS SNK2,T1249M,V1.001,20010731,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,2698,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
Capcom vs. SNK v1.000 (2000)(Virgin)(PAL)[!],CAPCOM VS SNK,T7017D  50,V1.000,20001009,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,7EFE,GD-ROM1/1,E,07BBA10,1ST_READ.BIN
Capcom vs. SNK v1.001 (2000)(Capcom)(US)[!],CAPCOM VS SNK,T1218N,V1.001,20001014,USA/Canada,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,1DD9,GD-ROM1/1,U,07BBA10,1ST_READ.BIN
Captain Buzz Lightyear - Star Command v1.000 (2000)(Activision)(PAL)(DE)[!],BUZZ 2000,T13005D 18,V1.000,20001024,Europe,SEGA LC-T-130,SEGA SEGAKATANA,SEGA ENTERPRISES,7127,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Card of Destiny - Hikari to Yami no Tougou-sha v1.004 (2002)(Abel)(JP)[!],CARDOFDESTINY,T44406M,V1.004,20020213,Japan/Asia,SEGA LC-T-444,SEGA SEGAKATANA,SEGA ENTERPRISES,F203,GD-ROM1/1,J,199810,1ST_READ.BIN
Cardcaptor Sakura - Tomoyo no Video Daisakusen v1.001 (2000)(Sega)(JP)[!],CARDCAPTOR SAKURA TOMOYO NO VIDEO DAISAKUSEN,HDR-0115,V1.001,20001122,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,3986,GD-ROM1/1,J,799810,1ST_READ.BIN
Carrier v1.001 (2000)(Jaleco)(US)[!],CARRIER,T5701N,V1.001,20000204,USA/Canada,SEGA LC-T-57,SEGA SEGAKATANA,SEGA ENTERPRISES,5D11,GD-ROM1/1,U,0799A10,1ST_READ.BIN
Carrier v1.001 (2000)(XICAT Interactive)(PAL)(M4)[!],CARRIER,T44901D 50,V1.001,20001120,Europe,SEGA LC-T-449,SEGA SEGAKATANA,SEGA ENTERPRISES,A7F0,GD-ROM1/1,E,0799A10,1ST_READ.BIN
Carrier v1.003 (2000)(Jaleco)(JP)[!],CARRIER,T5701M,V1.003,20000112,Japan/Asia,SEGA LC-T-57,SEGA SEGAKATANA,SEGA ENTERPRISES,05A9,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Castle Fantasia - Seima Taisen v1.001 (2002)(Symbio Planning)(JP)[!],SEIMATAISEN,T46901M,V1.001,20020406,Japan/Asia,SEGA LC-T-469,SEGA SEGAKATANA,SEGA ENTERPRISES,364D,GD-ROM1/1,J,19810,1ST_READ.BIN
Centipede v1.004 (1999)(Hasbro)(US)[!],CENTIPEDE,T40602N,V1.004,19991027,USA/Canada,SEGA LC-T-406,SEGA SEGAKATANA,SEGA ENTERPRISES,65E8,GD-ROM1/1,U,799810,1ST_READ.BIN
Championship Surfer v1.002 (2000)(Mattel)(US)[!],CHAMPIONSHIP SURFER,T41403N,V1.002,20001023,USA/Canada,SEGA LC-T-414,SEGA SEGAKATANA,SEGA ENTERPRISES,2CC0,GD-ROM1/1,U,0019A11,0WINCEOS.BIN
Championship Surfer v1.002 (2001)(GAME Studios)(PAL)(M5)[!],CHAMPIONSHIP SURFER,T41402D 50,V1.002,20010306,Europe,SEGA LC-T-414,SEGA SEGAKATANA,SEGA ENTERPRISES,2239,GD-ROM1/1,E,0019A11,0WINCEOS.BIN
Chaos Field v1.003 (2004)(Milestone)(JP)(en)[!],CHAOS FIELD,T47801M,V1.003,20041111,Japan/Asia,SEGA LC-T-478,SEGA SEGAKATANA,SEGA ENTERPRISES,280D,GD-ROM1/1,J,0009A10,1ST_READ.BIN
Charge 'n Blast v1.000 (2000)(Infogrames)(US)[!],CHARGEN BLAST,T15127N,V1.000,20001203,USA/Canada,SEGA LC-T-151,SEGA SEGAKATANA,SEGA ENTERPRISES,D30A,GD-ROM1/1,U,0799A10,1ST_READ.US
Charge 'n Blast v1.000 (2000)(XICAT Interactive)(PAL)[!],CHARGEN BLAST,T44902D 50,V1.000,20001130,Europe,SEGA LC-T-449,SEGA SEGAKATANA,SEGA ENTERPRISES,CF2B,GD-ROM1/1,E,0799A10,1ST_READ.PAL
Charge 'n Blast v1.002 (2000)(Sims)(JP)[!],CHARGEN BLAST,T4402M,V1.002,20001025,Japan/Asia,SEGA LC-T-44,SEGA SEGAKATANA,SEGA ENTERPRISES,3348,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Cherry Blossom v1.002 (2004)(Takuyo)(JP)[!],CHERRY BLOSSOM,T37912M,V1.002,20040317,Japan/Asia,SEGA LC-T-379,SEGA SEGAKATANA,SEGA ENTERPRISES,7E57,GD-ROM1/1,J,799811,0WINCEOS.BIN
Chicken Run v1.000 (2000)(Eidos)(PAL)(GB)[!],CHICKEN RUN,T36814D 05,V1.000,20001023,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,C785,GD-ROM1/1,E,799810,1ST_READ.BIN
Chicken Run v1.000 (2000)(Eidos)(PAL)(M4)[!],CHICKEN RUN,T36814D 87,V1.000,20001030,Europe,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,B9BC,GD-ROM1/1,E,799810,1ST_READ.BIN
Chicken Run v1.000 (2000)(Eidos)(US)[!],CHICKEN RUN,T36811N,V1.000,20001023,USA/Canada,SEGA LC-T-368,SEGA SEGAKATANA,SEGA ENTERPRISES,A922,GD-ROM1/1,U,799810,1ST_READ.BIN
Cho - Hatsumei Boy Kanipan - Bousou Robot no Nazo! v1.005 (1999)(Sega)(JP)[!],CHOUHATSUMEIBOY KANIPAN BOUSOUROBOTO NO NAZO,HDR-0021,V1.005,19990619,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,8C6B,GD-ROM1/1,J,0799A00,1ST_READ.BIN
Chocolat - Maid Cafe 'Curio' v1.003 (2003)(Alchemist)(JP)[!],CHOCOLAT - MAID CAFE CURIO -,T47107M,V1.003,20031127,Japan/Asia,SEGA LC-T-471,SEGA SEGAKATANA,SEGA ENTERPRISES,97C0,GD-ROM1/1,J,0199A10,1ST_READ.BIN
