Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,CD_Number,Region,Compatible_Peripherals,Hardware_Identifier,Marker_ID
Battle Arena Toshinden URA - Ultimate Revenge Attack (USA),TOUSHINDEN URA,MK-81054,V1.000,19961004,CD-1/1,U,J,SEGA SEGASATURN,SEGA ENTERPRISES
Battle Athletess Daiundoukai (Japan),BATORU ASUREITESU DAIUNDOUKAI,T-24601G,V1.002,19961030,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-246
Battle Garegga (Japan),BATTLE GAREGGA,T-10627G,V1.000,19980203,CD-1/1,J,JE,SEGA SEGASATURN,SEGA TP T-106
Battle Monsters (Europe),BATTLE MONSTERS,T-8137H-50,V1.000,19960805,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-81
Battle Monsters (Japan),BATTLE MONSTERS,T-18701G,V1.001,19950315,CD-1/1,JT,J,SEGA SEGASATURN,SEGA TP T-187
Battle Monsters (USA),BATTLE MONSTERS,T-8137H,V1.000,19960805,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-81
"Battle Stations (Europe) (En,Fr,De)",BATTLESTATIONS,T-5021H,V1.000,19970415,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-50
"Battle Stations (USA) (En,Fr,De)",BATTLESTATIONS,T-5021H,V1.000,19970415,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-50
BattleSport (USA),BATTLE_SPORT,T-8149H,V1.000,19970510,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-81
Beach de Riichi! (Japan),BEACH DE REACH,T-29004G,V1.002,19980708,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-290
Bedlam (USA) (Proto) (1997-08-11),BEDLAM,T-25407H45,V1.100,19970811,CD-1/1,U,J,SEGA SEGASATURN,SEGA TP T-254
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V1.000,19960510,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-167
Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (Rev A) (10M),BIG ICHIGEKI        PACHISLOT       DAIKORYAKU    UNIVERSAL         MUSEUM                            FOR JAPAN,T-16704G,V2.000,19960709,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-167
Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan),SUPER KEIRIN,6106987,V1.002,19980729,CD-1/1,J,JT,SEGA SEGASATURN,SEGA TP T-
Bio Hazard (Japan),BIO HAZARD,T-1219G,V1.002,19970624,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-12
Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan),BISHOUJOHANAFUDAKIKOUMITINOKUHITOUKOIMONOGATARISPECIAL,T-36701G,V1.002,19970909,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-367
Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan),SAILORMOONSUPERS,T-15701G,V1.003,19961009,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-157
Black Dawn (Europe),BLACKDAWN,T-7027H-50,V1.000,19970218,CD-1/1,E,JAT,SEGA SEGASATURN,SEGA TP T-70
Black Dawn (Japan),BLACKDAWN,T-7013G,V1.000,19970218,CD-1/1,J,JAT,SEGA SEGASATURN,SEGA TP T-70
Black Dawn (USA),BLACKDAWN,T-7027H,V1.002,19961210,CD-1/1,U,JAT,SEGA SEGASATURN,SEGA TP T-70
Black-Matrix (Japan),BLACK MATRIX,T-20113G,V1.000,19980629,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-201
Black-Matrix (Japan) (Rerelease),BLACK MATRIX,T-20115G,V1.001,19981006,CD-1/1,J,J,SEGA SEGASATURN,SEGA TP T-201
BlackFire (Europe),BLACKFIRE,T-7011H-50,V1.000,19960325,CD-1/1,E,JA,SEGA SEGASATURN,SEGA TP T-070
BlackFire (Japan),BLACKFIRE,T-7003G,V1.001,19951027,CD-1/1,JT,JA,SEGA SEGASATURN,SEGA TP T-70
BlackFire (USA) (2S),BLACKFIRE,MK-81003,V1.032,19950831,CD-1/1,U,JA,SEGA SEGASATURN,SEGA ENTERPRISES
BlackFire (USA) (3S),BLACKFIRE,MK-81003,V1.032,19950831,CD-1/1,U,JA,SEGA SEGASATURN,SEGA ENTERPRISES
Blam! Machinehead (Europe),BLAM!           MACHINEHEAD,T-11505H50,V1.000,19960830,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-115
Blam! Machinehead (France),BLAM!           MACHINEHEAD,T-11505H50,V1.000,19960830,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-115
Blam! Machinehead (Germany),BLAM!           MACHINEHEAD,T-11505H50,V1.000,19960830,CD-1/1,E,J,SEGA SEGASATURN,SEGA TP T-115
